domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
iidanet.or.jp,1,2002,20020302070423,20020302070423,http://www.iidanet.or.jp/~ictv/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
iin.co.jp,1,2002,20020302070423,20020302070423,http://www.iin.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
inacatv.co.jp,1,2002,20020302070423,20020302070423,http://www.inacatv.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
jctv.ne.jp,1,2002,20020302070423,20020302070423,http://www.jctv.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
jcv.co.jp,1,2002,20020302070423,20020302070423,http://www.jcv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
jfn.co.jp,1,2002,20020221040753,20020221040753,http://www.jfn.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
jlc.ne.jp,1,2002,20020622075452,20020622075452,http://www.jlc.ne.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/013games/top.cgi,True,,
katch.co.jp,1,2002,20020302070423,20020302070423,http://www.katch.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
kbn.ne.jp,1,2002,20020302070423,20020302070423,http://www.kbn.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
kcn.ne.jp,1,2002,20020302070423,20020302070423,http://www.kcn.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
kct.co.jp,1,2002,20020302070423,20020302070423,http://www.kct.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
kcv-net.ne.jp,1,2002,20020302070423,20020302070423,http://www.kcv-net.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
kokkaitv.com,1,2002,20020221041025,20020221041025,http://kokkaitv.com,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi,True,,
kvision.ne.jp,1,2002,20020302070423,20020302070423,http://www.kvision.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
lcv.co.jp,1,2002,20020302070423,20020302070423,http://www.lcv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
maspro.co.jp,1,2002,20020622074325,20020622074325,http://www.maspro.co.jp/,http://www.eiseihoso.org:80/aboutus/main003-02.html,True,,
mediark.co.jp,1,2002,20020221040753,20020221040753,http://www.mediark.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
medias.co.jp,1,2002,20020302070423,20020302070423,http://www.medias.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
microsoft.com,1,2002,20020803082611,20020803082611,,http://www.eiseihoso.org:80/notes/index.html,True,,
miyazaki-catv.ne.jp,1,2002,20020302070423,20020302070423,http://www.miyazaki-catv.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
mnetjapan.com,1,2002,20020625171212,20020625171212,http://www.mnetjapan.com,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi?start=20&key=,True,,
musicair.co.jp,1,2002,20020617001254,20020617001254,http://www.musicair.co.jp/,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi,True,,
musicair.econ-net.or.jp,1,2002,20020308030526,20020308030526,http://musicair.econ-net.or.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi?start=10&key=,True,,
nagano-inc.co.jp,1,2002,20020302070423,20020302070423,http://www.nagano-inc.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
nanmoku.ne.jp,1,2002,20020302070423,20020302070423,http://www.nanmoku.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
nct9.co.jp,1,2002,20020302070423,20020302070423,http://www.nct9.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
ndb.co.jp,1,2002,20020221040753,20020221040753,http://www.ndb.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
netbeet.ne.jp,1,2002,20020302070423,20020302070423,http://www.netbeet.ne.jp/~ikeda1/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
nippon-antenna.co.jp,1,2002,20020622074325,20020622074325,http://www.NIPPON-ANTENNA.co.jp/,http://www.eiseihoso.org:80/aboutus/main003-02.html,True,,
nirai.ne.jp,1,2002,20020302070423,20020302070423,http://www.nirai.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
nitsuki.com,1,2002,20020622074325,20020622074325,http://www.nitsuki.com/,http://www.eiseihoso.org:80/aboutus/main003-02.html,True,,
nsknet.or.jp,1,2002,20020302070423,20020302070423,http://www.nsknet.or.jp/notomachi/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
oka.urban.ne.jp,1,2002,20020302070423,20020302070423,http://www.oka.urban.ne.jp/ home/icvnet/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
oni.co.jp,1,2002,20020302070423,20020302070423,http://www.oni.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
paradisetv.jp,1,2002,20020308030322,20020308030322,http://www.paradisetv.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi,True,,
